,0,1,2,3,4,5,6,7
0,5,3,0,3,5,5,0,1
1,4,7,7,7,7,7,7,7
2,2,3,2,2,7,7,3,3
3,6,4,2,2,4,4,6,6
4,3,5,7,5,3,5,7,7
5,3,1,4,1,7,3,5,1
6,0,5,0,2,1,3,3,3
7,1,5,6,6,2,0,2,6
8,7,4,3,3,6,6,7,6
9,7,5,2,1,1,5,0,1
10,2,1,3,1,6,1,7,3
11,3,0,2,2,3,2,3,2
12,6,0,3,2,1,1,3,1
13,6,3,6,2,1,3,4,3
14,1,2,7,7,3,3,3,3
15,5,5,7,7,3,7,7,7
16,5,6,0,4,6,6,4,4
17,3,2,1,0,5,0,1,0
18,7,5,7,5,7,5,7,5
19,0,0,3,1,5,4,5,1
20,4,5,6,5,0,5,2,5
21,6,7,6,7,0,1,2,3
22,6,7,1,1,6,7,0,1
23,0,3,0,3,2,3,2,2
24,5,3,5,7,3,3,3,3
25,7,5,6,4,5,5,4,4
26,4,2,0,1,6,6,6,6
27,5,6,4,6,5,4,4,4
28,1,7,5,5,3,3,1,1
29,7,7,4,5,5,5,5,5
30,6,7,5,5,4,6,5,5
31,7,7,7,7,4,4,5,7
32,1,7,1,5,7,7,5,5
33,3,3,2,2,6,3,6,2
34,6,3,7,3,0,3,3,3
35,7,4,0,0,1,4,1,0
36,5,5,7,7,0,5,3,7
37,1,0,6,2,1,1,7,3
38,0,2,2,2,0,2,0,2
39,6,7,7,7,6,6,7,7
40,6,5,0,0,2,0,0,0
41,5,7,4,4,4,4,4,4
42,6,7,6,6,5,7,5,7
43,0,3,0,3,4,1,0,1
44,7,1,1,1,5,5,5,5
45,6,7,2,2,1,1,2,2
46,0,3,1,3,2,2,3,3
47,5,0,4,0,6,6,4,4
48,5,0,5,1,7,5,5,5
49,7,1,6,0,7,1,7,6
50,4,5,3,5,4,5,4,5
51,0,5,7,7,1,1,3,3
52,7,4,6,6,4,4,6,4
53,3,7,4,6,3,7,2,6
54,0,3,5,5,2,3,0,1
55,5,0,4,4,1,1,1,1
56,6,0,0,0,2,2,2,2
57,3,3,7,3,1,1,3,3
58,2,4,5,4,6,6,4,4
59,6,0,1,1,6,2,0,0
60,5,7,6,6,7,7,6,6
61,7,0,1,0,4,0,0,0
62,2,2,2,2,6,2,6,2
63,0,0,5,1,3,1,1,1
64,2,2,4,6,2,2,2,2
65,7,6,6,6,4,4,6,6
66,5,5,0,5,6,7,2,7
67,2,0,5,4,0,0,4,4
68,4,4,1,0,2,6,3,2
69,7,2,4,4,3,2,5,6
70,2,0,5,0,2,2,3,2
71,5,4,4,4,2,2,2,2
72,3,0,1,0,0,0,1,0
73,0,1,6,1,7,1,7,5
74,2,6,4,6,6,6,4,6
75,1,4,2,0,1,1,1,0
76,4,7,4,7,4,6,4,4
77,7,0,4,0,7,4,4,4
78,4,0,0,0,1,0,0,0
79,7,6,7,7,4,4,5,4
80,6,4,5,4,5,5,5,5
81,6,1,1,1,7,5,5,5
82,5,7,1,2,6,6,2,2
83,2,4,3,1,5,5,3,5
84,6,6,7,7,3,2,7,7
85,4,4,0,4,5,5,1,4
86,4,1,0,0,1,1,0,1
87,1,6,4,6,3,6,6,6
88,0,6,0,2,6,6,2,6
89,7,6,3,6,4,6,6,6
90,3,1,1,1,5,5,5,5
91,2,3,7,3,4,6,6,7
92,6,2,5,5,2,2,5,4
93,4,6,6,6,2,2,6,6
94,4,0,5,0,3,1,1,1
95,1,2,0,2,1,1,1,0
96,4,6,0,6,5,6,4,4
97,5,2,4,0,3,2,6,2
98,2,2,0,0,3,3,1,1
99,5,1,3,1,0,0,2,0
100,3,4,2,0,7,5,7,4
101,7,1,2,3,4,1,2,2
102,3,3,7,7,5,1,7,7
103,4,0,0,0,2,2,2,2
104,3,7,4,4,3,7,0,4
105,6,4,7,4,7,6,7,7
106,3,1,5,5,3,1,7,5
107,5,2,7,2,5,0,5,4
108,2,1,4,4,2,2,4,4
