,0,1,2,3,4,5,6,7
0,7,2,7,3,6,6,6,6
1,0,1,2,3,2,3,2,2
2,4,3,3,3,7,3,3,3
3,4,6,5,6,5,6,5,7
4,1,1,3,3,0,0,0,0
5,4,7,7,7,6,7,7,7
6,0,6,1,0,4,6,1,4
7,4,0,4,4,0,0,4,4
8,4,2,5,4,5,4,5,4
9,7,3,0,3,5,3,0,3
10,3,7,7,7,2,2,6,7
11,3,7,3,3,1,5,3,3
12,5,7,1,1,1,7,1,1
13,4,0,0,0,5,1,0,0
14,4,2,6,6,0,0,6,6
15,2,4,3,6,3,4,3,6
16,3,2,1,1,6,6,2,2
17,3,6,3,6,5,4,5,6
18,2,1,0,0,6,5,4,0
19,6,6,0,6,5,6,0,6
20,6,2,1,1,2,2,1,1
21,3,4,7,7,7,6,7,7
22,2,4,5,5,5,5,5,5
23,1,3,4,2,6,2,6,2
24,0,1,7,7,6,6,6,6
25,3,5,6,4,4,4,4,4
26,3,5,5,5,1,5,1,5
27,6,6,5,6,3,3,3,3
28,4,7,5,7,2,2,2,6
29,3,1,7,5,3,1,7,5
30,7,1,0,0,5,1,0,1
31,2,2,5,2,2,2,4,2
32,7,0,6,0,5,5,5,4
33,3,3,6,2,7,3,6,2
34,5,2,1,1,7,3,3,3
35,5,2,0,2,7,2,2,2
36,4,1,0,0,5,5,4,4
37,6,0,0,0,6,0,4,0
38,7,6,1,7,2,6,1,7
39,3,6,1,7,7,7,7,7
40,0,7,1,7,5,7,5,5
41,6,7,6,6,7,7,7,7
42,0,3,2,3,2,3,3,3
43,6,1,6,1,1,1,2,1
44,2,1,7,5,1,1,1,1
45,0,2,1,2,4,6,5,6
46,3,6,1,3,4,6,1,7
47,4,5,7,5,2,0,6,5
48,2,0,3,3,6,6,3,3
49,6,7,0,3,4,7,0,2
50,3,1,1,1,1,1,1,1
51,3,7,5,7,3,3,5,7
52,2,3,7,3,2,2,6,2
53,2,3,6,7,2,3,6,6
54,0,4,6,6,6,4,6,6
55,5,4,6,4,4,4,4,4
56,1,7,1,1,5,5,1,1
57,6,6,3,6,0,6,0,6
58,3,1,3,3,0,1,3,1
59,7,6,5,7,4,6,4,4
60,5,3,0,0,0,3,0,0
61,7,5,7,5,2,1,3,5
62,0,6,4,4,2,2,4,4
63,4,3,7,3,4,2,7,3
64,1,7,5,5,5,5,5,5
65,6,5,4,4,7,5,5,5
66,1,1,6,5,3,1,7,3
67,5,0,4,0,0,0,4,0
68,2,2,2,2,0,2,0,2
69,4,4,5,4,6,6,6,6
70,6,4,4,4,0,4,4,4
71,7,5,5,5,7,7,5,5
72,5,5,4,4,7,7,5,5
73,0,1,1,1,0,0,0,0
74,0,1,4,5,2,2,6,4
75,4,4,7,7,2,2,3,2
76,3,1,7,5,2,0,6,6
77,1,6,0,0,4,6,0,0
78,2,7,0,6,1,1,0,0
79,7,5,0,0,7,7,3,5
80,0,0,1,1,3,1,1,1
81,0,2,1,3,1,3,1,3
82,2,7,5,7,0,3,1,3
83,5,3,5,7,2,3,5,7
84,7,7,0,1,6,6,2,6
85,4,4,2,2,2,6,2,2
86,3,6,6,6,0,0,6,6
87,2,4,5,4,5,5,5,5
88,7,1,4,1,3,3,0,1
89,4,6,0,4,3,6,0,2
90,6,7,5,5,5,5,5,5
91,4,5,5,5,4,5,5,5
92,4,1,3,1,1,1,1,1
93,7,7,7,7,3,3,7,7
94,5,7,2,7,1,7,2,3
95,4,3,7,7,1,3,7,7
96,1,5,7,7,0,4,4,4
97,4,7,2,3,5,5,1,1
98,3,7,7,7,7,7,7,7
99,4,1,2,1,4,5,4,5
100,5,2,0,0,6,6,6,2
101,2,5,5,5,7,5,5,5
102,5,5,5,5,4,4,5,5
103,6,3,3,3,4,6,6,7
104,0,0,0,0,2,2,2,0
105,5,7,3,7,6,7,7,7
106,5,0,6,6,7,3,7,7
107,2,5,0,5,7,5,7,5
108,0,4,0,0,0,0,0,0
109,5,0,3,1,2,2,3,3
110,5,6,1,4,6,6,4,4
111,5,0,3,0,3,0,3,2
112,3,3,2,2,7,3,7,3
113,4,2,2,2,2,2,2,2
114,3,7,1,1,3,3,1,1
115,4,1,2,2,4,1,2,2
116,5,1,4,5,6,5,4,5
117,5,5,7,5,3,7,3,7
118,7,7,7,7,4,5,4,5
119,1,1,1,1,3,3,1,1
120,5,5,2,3,7,7,3,7
121,7,1,1,1,2,2,0,1
122,4,6,6,6,4,4,6,6
123,1,5,2,3,1,1,3,3
124,1,5,5,5,1,1,1,1
125,1,7,6,7,6,6,6,6
126,3,5,1,5,7,5,5,5
127,6,3,5,5,3,3,7,3
128,2,7,0,4,4,4,4,4
129,6,2,5,5,6,6,5,5
130,6,7,4,7,5,5,4,5
131,6,1,7,3,4,5,5,5
132,1,3,7,7,4,2,6,6
133,6,3,6,7,3,3,2,3
134,5,0,5,4,6,4,6,4
135,2,6,2,2,2,6,2,2
136,3,0,7,3,3,3,7,3
137,7,7,6,7,2,3,2,3
138,3,5,2,2,7,7,3,7
139,6,7,0,2,3,7,1,3
140,5,2,1,0,1,2,1,1
141,0,5,1,5,7,7,7,7
142,4,2,4,6,6,2,6,6
143,7,7,0,0,7,7,0,0
144,6,5,4,5,2,3,2,2
145,5,7,6,6,5,5,7,7
146,6,7,6,7,3,7,7,7
147,1,5,0,1,7,7,1,1
148,5,5,4,4,7,7,6,4
149,4,1,7,7,6,7,6,7
150,3,3,0,2,5,7,5,5
151,7,3,1,3,6,7,6,7
152,1,7,4,7,7,7,7,7
153,2,2,7,3,6,2,7,6
154,7,4,2,4,1,4,0,0
155,5,7,2,3,3,7,2,3
156,6,7,7,7,2,7,3,7
157,0,5,4,6,2,6,2,6
158,7,4,5,5,4,4,5,5
159,7,1,4,5,1,1,5,5
160,7,1,3,3,6,3,3,3
161,1,1,1,1,7,5,5,5
162,0,1,5,5,2,2,3,3
163,6,1,2,0,5,5,6,5
164,7,2,4,2,0,2,0,2
165,3,3,6,6,0,0,0,0
166,0,3,0,3,5,7,5,7
167,4,7,7,7,7,7,7,7
168,4,6,1,3,0,2,1,3
169,6,7,1,3,7,7,1,3
170,3,2,6,6,3,3,2,2
171,2,6,6,6,3,7,6,6
172,3,2,1,3,6,2,7,3
173,4,4,5,4,7,7,7,7
174,1,1,4,0,3,1,0,1
175,1,0,5,5,4,4,5,5
176,4,4,0,4,4,4,4,4
177,5,3,2,3,3,3,3,3
178,0,1,0,0,7,3,7,3
179,2,3,0,1,1,1,0,1
180,3,3,4,2,5,7,4,6
181,1,0,3,3,6,0,6,2
182,6,4,0,0,0,4,0,0
183,3,0,3,3,4,0,3,1
184,1,0,2,0,1,0,0,0
185,0,5,7,5,5,5,7,5
186,2,7,7,7,0,2,2,2
187,5,4,3,6,7,7,3,7
188,1,2,1,2,4,0,1,0
189,1,3,5,5,5,7,5,5
190,7,1,3,1,0,0,1,1
191,0,2,4,6,2,2,2,2
192,3,5,3,7,7,5,7,5
193,4,1,4,0,1,1,0,0
194,3,4,6,4,7,4,7,6
195,2,4,1,4,5,5,1,5
196,0,4,3,0,4,4,5,4
197,7,6,4,6,5,5,4,4
198,6,3,3,3,1,1,1,1
199,4,4,3,2,0,0,1,0
200,3,2,0,2,6,2,2,2
201,2,5,2,2,7,7,2,2
202,1,2,5,6,3,2,7,6
203,3,1,3,1,1,1,1,1
204,5,7,1,5,3,3,1,1
205,1,7,3,3,1,1,3,3
206,6,6,2,2,2,2,2,2
207,1,3,3,3,5,7,5,7
208,1,1,3,3,2,6,2,2
209,4,0,5,1,6,2,6,2
210,3,2,1,0,4,0,5,0
211,1,5,2,5,5,5,5,5
212,4,5,4,5,7,5,7,5
213,4,0,3,1,1,1,3,1
214,7,4,2,4,6,4,2,4
215,0,0,2,2,4,4,6,6
216,2,2,1,0,0,0,0,0
217,1,7,4,5,4,5,4,5
218,1,6,3,3,7,7,3,3
219,3,6,4,4,6,4,4,4
220,3,0,2,0,0,0,2,0
