,0,1,2,3,4,5,6,7
0,0,3,0,2,1,3,1,3
1,4,7,7,7,6,7,7,7
2,0,2,2,2,6,6,2,2
3,3,4,3,7,3,7,3,7
4,7,4,1,4,6,6,2,4
5,3,7,6,7,0,3,0,6
6,7,0,0,0,1,1,0,0
7,2,4,7,7,1,1,3,7
8,6,5,3,1,2,6,2,2
9,6,4,6,4,3,5,3,5
10,5,3,6,2,1,3,3,3
11,1,0,3,2,6,2,6,2
12,5,5,2,1,1,1,3,1
13,7,1,6,3,0,1,2,3
14,7,5,5,5,6,6,7,7
15,3,2,2,2,3,3,3,2
16,7,6,5,4,0,6,5,4
17,1,7,5,5,1,5,5,5
18,4,3,6,7,3,3,6,3
19,3,1,6,7,6,0,6,6
20,5,2,7,6,3,2,7,7
21,1,1,1,1,7,5,5,1
22,5,6,5,5,6,6,5,6
23,0,4,4,4,6,4,4,4
24,0,3,4,7,0,0,4,4
25,1,5,2,5,4,5,2,5
26,6,1,2,1,7,3,3,3
27,0,0,4,0,6,6,6,6
28,1,1,0,1,5,1,0,1
29,1,3,5,5,2,2,4,5
30,3,3,3,3,5,5,7,3
31,1,6,1,5,6,6,5,7
32,6,2,1,0,1,3,1,1
33,7,5,5,5,2,7,7,7
34,0,0,1,0,0,0,0,0
35,0,1,0,0,2,2,0,0
36,4,1,6,5,6,4,6,4
37,2,4,6,4,1,5,5,4
38,7,0,5,4,7,0,5,4
39,1,6,7,7,0,6,5,7
40,3,0,1,1,5,0,5,1
41,6,5,6,7,4,4,6,4
42,1,6,3,6,1,7,3,7
43,2,7,3,3,2,7,3,3
44,2,1,3,3,6,3,7,3
45,6,6,1,1,2,2,1,1
46,6,0,0,0,5,5,4,0
47,2,0,1,1,1,1,1,1
48,3,3,4,3,6,6,6,6
49,2,4,6,6,6,6,6,6
50,4,5,4,4,6,6,6,4
51,1,0,1,1,3,2,1,1
52,0,3,5,7,2,3,5,3
53,6,7,7,7,7,7,7,7
54,5,4,5,4,5,5,5,5
