,0,1,2,3,4,5,6,7
0,0,0,5,5,2,2,2,0
1,0,5,0,4,5,5,5,5
2,0,4,5,4,0,0,0,0
3,0,6,7,7,6,6,7,7
4,0,3,5,1,5,1,5,5
5,0,3,3,3,3,3,3,3
6,0,7,7,7,3,7,3,7
7,0,2,4,6,4,6,4,6
8,0,3,1,3,0,2,1,3
9,0,5,4,5,5,5,5,5
10,0,4,1,4,3,4,3,5
11,0,1,2,3,2,0,2,2
12,0,3,3,3,6,6,6,3
13,0,5,6,7,5,5,6,5
14,0,7,3,7,2,6,3,7
15,0,6,2,6,0,6,2,6
16,0,4,6,6,5,5,7,6
17,0,1,3,3,4,4,4,0
18,0,5,0,5,2,4,0,0
19,0,0,6,0,0,0,0,0
20,0,2,3,2,4,2,0,2
21,0,1,0,0,0,0,0,0
22,0,0,5,4,6,6,7,6
23,0,5,3,5,6,6,2,6
24,0,5,0,1,0,0,0,0
25,0,0,4,4,2,2,2,0
26,0,6,3,3,1,2,3,3
27,0,3,2,3,6,6,2,2
28,0,7,4,4,5,5,5,5
29,0,6,7,6,2,2,2,2
30,0,2,4,4,7,3,5,5
31,0,2,7,7,0,2,7,2
32,0,0,6,2,1,1,0,0
33,0,7,6,7,6,7,6,7
34,0,1,6,2,5,1,6,7
35,0,4,2,2,3,0,2,2
36,0,3,7,3,5,1,5,5
37,0,3,6,3,1,1,4,3
38,0,7,3,3,4,6,0,3
39,0,2,7,2,5,2,7,3
40,0,5,2,6,7,5,6,6
41,0,3,2,3,0,0,2,2
42,0,1,5,1,2,3,0,1
43,0,0,5,0,6,2,5,0
44,0,4,1,0,4,4,5,4
45,0,3,4,6,0,0,4,0
46,0,2,6,6,5,7,7,7
47,0,5,0,4,7,7,2,4
48,0,6,4,6,0,2,4,6
49,0,5,1,5,6,7,7,5
50,0,5,5,5,4,5,5,5
51,0,4,0,0,2,0,0,0
52,0,1,2,3,2,2,2,2
53,0,3,0,0,7,7,4,4
54,0,7,1,1,7,7,5,7
55,0,2,5,6,4,4,4,4
56,0,3,2,2,0,0,0,0
57,0,6,5,4,1,5,1,5
58,0,2,0,0,1,3,1,0
59,0,1,3,3,1,1,3,3
60,0,4,2,2,1,5,3,1
61,0,2,4,6,1,2,5,0
62,0,0,1,0,4,4,5,0
63,0,3,7,7,2,2,3,3
64,0,4,6,4,6,4,6,6
65,0,7,5,7,2,3,3,3
66,0,7,5,7,5,7,5,7
67,0,6,3,6,4,6,4,6
68,0,2,6,2,7,6,7,6
69,0,0,7,1,5,0,7,5
70,0,3,0,0,4,4,4,0
71,0,7,6,6,7,7,7,7
72,0,0,1,1,4,0,4,0
73,0,4,1,4,4,4,0,4
74,0,2,2,2,0,2,0,2
75,0,3,1,1,6,3,0,3
76,0,2,1,3,4,6,1,2
77,0,2,5,1,1,1,1,1
78,0,1,2,1,2,1,2,3
79,0,3,5,3,6,7,7,7
80,0,6,1,2,3,2,3,3
81,0,7,2,3,3,3,2,3
82,0,7,5,5,3,3,1,1
83,0,2,0,0,7,6,5,0
84,0,5,6,4,7,7,6,6
85,0,6,0,6,5,7,5,7
86,0,3,5,7,0,1,5,1
87,0,1,4,5,5,5,4,5
88,0,6,7,6,1,2,3,2
89,0,1,5,1,4,1,5,5
90,0,6,3,6,7,6,7,7
91,0,0,7,2,2,2,2,2
92,0,5,2,2,2,2,2,2
93,0,1,2,2,5,5,6,5
94,0,5,2,5,7,7,7,7
95,0,7,7,7,7,7,7,7
96,0,3,0,0,0,2,0,0
97,0,2,4,2,0,2,0,2
98,0,5,4,4,6,5,4,4
99,0,7,6,6,5,5,5,5
100,0,2,1,2,4,6,1,0
101,0,6,5,4,7,6,5,7
